"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"32301","B","933/596","UB4b",25,0,933.848,596.285,350.585,"KN","4","","ES",2,8,22,226,"30 W",250,130,25,10,"long bone fragment","2016-04-02","10:49:05","UB4c","",22,226,5.2
"32314","B","933/596","UB4b",47,0,933.361,596.615,350.421,"LOST.KN","6","","ES",2,5,22,136,"18 SE",138,42,19,10,"long bone fragment","2016-04-08","12:47:58","UB4c","",22,136,2.21052631578947
"32340","B","933/596","UB4b",45,0,933.767,596.401,350.423,"LOST.KN","6","","ES",3,7,45,196,"",NA,28,11,6,"tooth and mandible fragment","2016-04-08","09:53:46","UB4c","",45,196,2.54545454545455
"32648","B","933/597","UB4b",37,0,933.352,597.658,350.419,"KN","6","","LS",1,14,0,46,"",NA,42,7,6,"bird bone fragment","2016-04-09","11:37:10","UB4c","",0,46,6
"32678","B","933/597","UB4b",45,0,933.559,597.611,350.375,"KN","7","","LS",3,8,45,226,"",NA,43,3,NA,"amphibia bone fragment","2016-04-12","12:16:08","UB4c","",45,226,14.3333333333333
"33144","B","933/598","UB4b",28,0,933.18,598.167,350.525,"LI","3","","DV",2,2,22,46,"28 NE",60,29,15,8,"right distal flake fragment, radiolarite, close to crack","2016-04-04","09:25:18","UB4c","",22,46,1.93333333333333
"33398","B","933/599","1",32,0,933.663,599.825,350.491,"KN","5","","JH, LP",4,5,67,136,"",NA,30,15,1,"","2015-05-22","08:19:36","UB4c","Mudflow",67,136,2
"33409","B","933/599","1",13,0,933.934,599.58,350.657,"KN","2","","GM",2,12,22,346,"",NA,25,10,3,"","2015-05-19","10:56:35","UB4c","Mudflow",22,346,2.5
"33480","B","933/599","1",25,0,933.04,599.424,350.529,"KN","4","","LP",2,12,22,346,"",NA,23,2,1,"","2015-05-21","08:12:02","UB4c","Mudflow",22,346,11.5
"33526","B","933/599","1",41,0,933.58,599.054,350.448,"KN","6","","JH, LP",2,3,22,76,"",NA,33,2,2,"bird long bone","2015-05-22","14:11:45","UB4c","Mudflow",22,76,16.5
"33539","B","933/599","1",46,0,933.301,599.906,350.376,"KN","7","","JH, LP",3,4,45,106,"",NA,25,15,5,"","2015-05-25","09:35:55","UB4c","Mudflow",45,106,1.66666666666667
"33548","B","933/599","1",18,0,933.291,599.7,349.948,"HZ","3","","LP",1,18,0,346,"",NA,100,30,10,"fragment","2015-05-20","10:51:49","UB4c","Mudflow",0,346,3.33333333333333
"33562","B","933/599","1",17,0,933.934,599.082,350.594,"KN","3","","LP",5,14,90,46,"",NA,20,10,2,"","2015-05-20","10:24:30","UB4c","Mudflow",90,46,2
"33705","B","933/600","1",61,0,933.892,600.294,350.342,"KN","8","","ER",1,17,0,136,"",NA,26,12,6,"","2015-05-12","10:30:05","UB4c","Mudflow",0,136,2.16666666666667
"33717","B","933/600","1",63,0,933.693,600.514,350.322,"LI","8","","ER",4,5,67,136,"50 SE",128,29,13,10,"radiolarite, flake fragment","2015-05-12","11:18:15","UB4c","Mudflow",67,136,2.23076923076923
"33726","B","933/600","1",113,0,933.837,600.985,350.154,"KN","11","","ER, AV",3,3,45,76,"40 NE",70,72,29,24,"","2015-05-27","11:09:56","UB4c","Mudflow",45,76,2.48275862068966
"33778","B","933/600","1",74,0,933.562,600.684,350.247,"LI","9","","ER",2,6,22,166,"30 E",0,24,13,12,"radiolarite, cortical pebble fragment","2015-05-14","10:23:50","UB4c","Mudflow",22,166,1.84615384615385
"33892","B","933/600","1",52,0,933.396,600.875,350.353,"LI","7","","ER",3,6,45,166,"40 NW",310,27,14,11,"radiolarite, cortical flake fragment","2015-05-11","10:00:58","UB4c","Mudflow",45,166,1.92857142857143
